"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"bdi_irrit","Integer","","Recommended","Irritability","0;1;2;3;-7; -9","0=I am no more irritable than usual; 1=I am more irritable than usual; 2= I am much more irritable than usual; 3= I am irritable all the time; -7=Refused;  -9=incomplete","Q17,bc11,bd_010,bdi011,bdi17_r03,bdi17_u,bdi_17,beck11,bp11,irritabl,q17,q18"
"bdi_ca","String","2","Recommended","Changes in appetite","0;1a;1b;2a;2b;3a;3b; -7","0=I have not experienced any change in my appetite; 1a=My appetite is somewhat less than usual; 1b=Myappetite is somewhat greater than usual; 2a=My appetite is much less than before; 2b=My appetite is much greater than before; 3a=I have no appetite at all; 3b= I crave food all the time; -7= refused","Q18,bdi18_r03,bdi18_u,bdi_018,bdi_18,chappet,q18,q19"
"bdi_ca_a","Integer","","Recommended","Changes in appetite, adjusted","0;1;2;3;-7; -9"," -9=incomplete","Q18Adjusted,beck18"
"bdi_cd","Integer","","Recommended","Concentration difficulty","0;1;2;3;-7; -9","0=I can concentrate as well as ever; 1=I can't concentrate as well as usual; 2= It's hard to keep my mind on anything for very long; 3=I find I can't concentrate on anything; -7=Refused;  -9=incomplete","Q19,bdi19_r03,bdi19_u,bdi_19,dcntrate,q19,q20"
"bdi_tf","Integer","","Recommended","Tiredness or fatigue","0;1;2;3;-7; -9","0=I am no more tired or fatigued than usual; 1=I get more tired or fatigued more easily than usual; 2= I am too tired or fatigued to do a lot of the things I used to do; 3=I am too tired or fatigued to do most of the things I used to do; -7=Refused;  -9=incomplete
","Q20,bc17,bdi20_r03,bdi20_u,bdi_017,bdi_20,bp17,q20,q21,tired"
"bdi_lis","Integer","","Recommended","Loss of interest in sex","0;1;2;3;-7; -9","0=I have not noticed any recent change in my interest in sex; 1=I am less interested in sex than I used to be; 2= I am much less interested in sex now; 3=I have lost interest in sex completely; -7=Refused;  -9=incomplete","Q21,bc21,bdi021,bdi21_r03,bdi21_u,bdi_021,bdi_21,bp21,losssex,q21,q22"
"bdi_total","Integer","","Recommended","BDI total score","0 :: 63; -9","  -9=incomplete","TotalScore,bdi,bdi_ii_sum,bdictott,beck_ts,total_score"
"asstyp","Integer","","Recommended","Assessment type","1::20","1=TADS GATE A; 2=TADS GATE B; 3 = TADS Gate C; 4 = TADS Week 6; 5 = TADS Week 12; 6 = TADS Week 18; 7 = TADS Week 24; 8 = TADS Week 30; 9 = TADS Week 36; 10 = TADS F/U Mo 3; 11 = TADS F/U Mo 6; 12 = TADS F/U Mo 9; 13 = TADS F/U Mo 12; 14 = SOFTAD month 6; 15 = SOFTAD month 12; 16 = SOFTAD month 18; 17 = SOFTAD month 24; 18 = SOFTAD month 30; 19 = SOFTAD month 36; 20 = SOFTAD month 42",""
"stage","Integer","","Recommended","Study stage","0::5; 51::53; 67; -888; -999","0 = Pre-Randomization (TADS) 1 = Stage 1 (TADS) 2 = Stage 2 (TADS) 3 = Stage 3 (TADS) 4 = Stage 4 (TADS) 5 = Stage 5 (SOFTAD); 51=Treatmentas Usual; 52=Screening Alone; 53=Intervention; 67=Unknown; -888=Not Applicable; -999=Missing; 
",""
"bdi_grp","Integer","","Recommended","Relationship of person completing form(parent/guardian informant) to adolescent -collapsing categories","1::3","1 = Mother figure 2 = Father figure 3 = Other",""
"bdi1","Integer","","Recommended","Question 1. Sadness (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI1 is missing then BDI1 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I do not feel sad; 1 = I feel sad much of the time; 2 = I am sad all of the time; 3 = I am so sad or unhappy that I can?t stand it",""
"bdi2","Integer","","Recommended","Question 2. Pessimism (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI2 is missing then BDI2 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I am not discouraged about my future; 1 = I feel more discouraged about my future than I used to be; 2 = I do not expect things to work out for me; 3 = I feel my future is hopeless and will only get worse",""
"bdi3","Integer","","Recommended","Question 3. Past Failure (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI3 is missing then BDI3 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I do not feel like a failure; 1 = I have failed more than I should have; 2 = As I look back I see a lot  of failures; 3 = I feel I am a total failure as a person",""
"bdi4","Integer","","Recommended","Question 4. Loss of Pleasure (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI4 is missing then BDI4 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I get as much pleasure as I ever did from the things I enjoy; 1 = I don?t enjoy things as much as I used to; 2 = I get very little pleasure from the things I used to enjoy; 3 = I can?t get any pleasure from the things I used to enjoy",""
"bdi5","Integer","","Recommended","Question 5. Guilty Feelings (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI5 is missing then BDI5 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I don?t feel particularly guilty; 1 = I feel guilty over many things I have done or should have done; 2 = I feel quite guilty most of the time; 3 = I feel guilty all of the time",""
"bdi6","Integer","","Recommended","Question 6. Punishment Feelings (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI6 is missing then BDI6 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I don?t feel I am being punished; 1 = I feel I may be punished; 2 = I expect to be punished; 3 = I feel I am being punished",""
"bdi7","Integer","","Recommended","Question 7. Self-Dislike (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI7 is missing then BDI7 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I feel the same about myself as ever; 1 = I have lost confidence in myself; 2 = I am disappointed in myself; 3 = I dislike myself",""
"bdi8","Integer","","Recommended","Question 8. Self-Criticalness (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI8 is missing then BDI8 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I don?t criticize or blame myself more than usual; 1 = I am more critical of myself than I used to be; 2 = I criticize myself for all of my faults; 3 = I blame myself for everything bad that happens",""
"bdi9","Integer","","Recommended","Question 9. Suicidal Thoughts or Wishes (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI9 is missing then BDI9 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I don?t have any thoughts of killing myself; 1 = I have thoughts of killing myself but I would not carry them out; 2 = I would like to kill myself; 3 = I would kill myself if I had the chance",""
"bdi10","Integer","","Recommended","Question 10. Crying (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI10 is missing then BDI10 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I don?t cry anymore than I used to; 1 = I cry more than I used to; 2 = I cry over every little thing; 3 = I feel like crying but I can?t",""
"bdi11","Integer","","Recommended","Question 11. Agitation (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI11 is missing then BDI11 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I am no more restless or wound up than usual; 1 = I feel more restless or wound up than usual; 2 = I am so restless or agitated that it?s hard to stay still; 3 = I am so restless or agitated that I have to keep moving or doing something",""
"bdi12","Integer","","Recommended","Question 12. Loss of Interest (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI12 is missing then BDI12 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I have not lost interest in other people or activities; 1 = I am less interested in other people or things than before; 2 = I have lost most of my interest in other people or things; 3 = It?s hard to get interested in anything",""
"bdi13","Integer","","Recommended","Question 13. Indecisiveness (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI13 is missing then BDI13 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I make decisions about as well as ever; 1 = I find it more difficult to make decisions than usual; 2 = I have much greater difficulty in making decisions than I used to; 3 = I have trouble making any decisions",""
"bdi14","Integer","","Recommended","Question 14. Worthlessness (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI14 is missing then BDI14 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I do not feel I am worthless; 1 = I don?t consider myself as worthwhile and useful as I used to; 2 = I feel more worthless as compared to other people; 3 = I feel utterly worthless",""
"bdi15","Integer","","Recommended","Question 15. Loss of Energy (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI15 is missing then BDI15 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I have as much energy as ever; 1 = I have less energy than I used to; 2 = I don?t have enough energy to do very much; 3 = I don?t have enough energy to do anything",""
"bdi16","String","5","Recommended","Question 16. Changes in Sleeping Pattern (Imputed Version)Options 1a or 1b will be set equal to 1. Options 2a or 2b will be set equal to 2. Options 3a or 3b will be set equal to 3.Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI16 is missing then BDI16 = integer(median of non-missing BDI1_U through BDI21_U)","1a;1b;2a;2b;3a;3b; 0;1;2;3","0 = I have not experienced any change in my sleeping pattern; 1 = (1a) I sleep somewhat more than usual OR (1b) I sleep somewhat less than usual; 2 = (2a) I sleep a lot more than usual OR (2b) I sleep a lot less than usual; 3 = (3a) I sleep most of the day OR (3b) I wake up 1-2 hours early and can?t get back to sleep",""
"bdi17","Integer","","Recommended","Question 17. Irritability (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI17 is missing then BDI17 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I am no more irritable than usual; 1 = I am more irritable than usual; 2 = I am much more irritable than usual; 3 = I am irritable all the time",""
"bdi18","String","5","Recommended","Question 18. Changes in Appetite (Imputed Version)Options 1a or 1b will be set equal to 1. Options 2a or 2b will be set equal to 2.Options 3a or 3b will be set equal to 3.Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI18 is missing then BDI18 = integer(median of non-missing BDI1_U through BDI21_U)","1a;1b;2a;2b;3a;3b; 0;1;2;3","0 = I have not experienced any change in my appetite; 1 = (1a) My appetite is somewhat less than usual OR (1b) My appetite is somewhat greater than usual; 2 = (2a) My appetite is much less than usual OR (2b) My appetite is much greater than usual; 3 = (3a) I have no appetite at all OR (3b) I crave food all the time",""
"bdi19","Integer","","Recommended","Question 19. Concentration Difficulty (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI19 is missing then BDI19 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I can concentrate as well as ever; 1 = I can?t concentrate as well as usual; 2 = It?s hard to keep my mind on anything for very long; 3 = I find I can?t concentrate on anything",""
"bdi20","Integer","","Recommended","Question 20. Tiredness or Fatigue (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI20 is missing then BDI20 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I am no more tired or fatigued than usual; 1 = I get more tired or fatigued more easily than usual; 2 = I am too tired or fatigued to do a lot of the things I used to do; 3 = I am too tired or fatigued to do most of the things I used to do",""
"bdi21","Integer","","Recommended","Question 21. Loss of Interest in Sex (Imputed Version)Imputation Rule: if less than 5 of BDI1_U through BDI21_U are missing and BDI21 is missing then BDI21 = integer(median of non-missing BDI1_U through BDI21_U)","0::3","0 = I have not noticed any recent change in my interest in sex; 1 = I am less interested in sex than I used to be; 2 = I am much less interested in sex now; 3 = I have lost interest in sex completely",""
"bdi_tot","Integer","","Recommended","BDI-II Total Score, based on all 21 questions using imputed values. [Note: This score is missing if less than 17 of the 21 items are answered]Items included in score:BDI1, BDI2, BDI3, BDI4, BDI5, BDI6, BDI7, BDI8, BDI9, BDI10, BDI11, BDI12, BDI13, BDI14, BDI15, BDI16, BDI17, BDI18, BDI19, BDI20, BDI21","0::63","","bdi_tsc"
"bdi_cat","Integer","","Recommended","BDI-II Total Score categorized by severity using imputed values","1::4","1 = Minimal (BDI-II Total Score = 0 ? 13) 2 = Mild (BDI-II Total Score = 14 ? 19)3 = Moderate (BDI-II Total Score = 20 ? 28) 4 = Severe (BDI-II Total Score = 29 ? 63)",""
"pathway","Integer","","Recommended","step pathway","1::9","1=SCP; 2=AD-Acute Depression; 3=REFD-Refractory Dep; 4=RELP-Relapse Prevent; 5=Psy-AD-Psychosocial; 6=Psy-REL-Psychosocial; 7=Omega 3; 8=LiMRS; 9=PAD-Psychosocial",""
"visit","String","60","Recommended","Visit name","","","bdi_apt,visitn"
"daysrz","Integer","","Recommended","days since randomization","","",""
"site","String","101","Recommended","Site","","Study Site","site_id,siteid,sitenum"
"bsit0","Float","","Recommended","Weeks from Time 0/baseline to assessment","","",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95; -999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 13 = 90=Other; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17=Adoptive mother; 18=Adoptive father; 19=Foster mother; 20 = Foster father; 21=Grandmother; 22=Grandfather; 23=Step-mother; 24 = Step-father; 25=Aunt; 26=Uncle; 27=Missing Data; 28=Both parents;31= Grandmother from mother side; 32= Grandfather from mother side; 33= Grandmother from father side; 34= Grandfather from father side; 36= Brother; 37= Sister; 38= Cousin; 39= female caregiver; 40=male caregiver; 41=Female child; 42=Male child; 43=Spouse/Mate; 44=Friend; 45=Parent; 46=Significant other; 47=Sibling; 48=Son/Daughter; 49=Son-in-law/Daughter-in law; 50=Other Relative; 51=Paid caregiver; 52=Friends; 53=Roommate; 54=Supervisor; 55=mother's boyfriend; 56=other parental figure; 57=Summary; 58=counselor ; 59 = other female relative; 60 = other male relative; 61 = non-relative ; 62=Maternal Aunt; 63=Maternal Uncle; 64=Maternal Cousin; 65 = Paternal Aunt; 66=Paternal Uncle; 67=Paternal Cousin ; 68=Biological/Adoptive Mother and Grandmother; 69=Biological/Adoptive Mother and Stepmother and Grandmother; 70=Biological/Adoptive Mother and Grandmother and Foster Father; 71=Biological/Adoptive Mother and Stepmother and Foster Mother; 72=Biological/Adoptive Mother and Foster Mother; 73=Biological/Adoptive Mother and Biological/Adoptive Father; 74=Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75=Biological/Adoptive Mother and Other; 76=Biological/Adoptive Mother and Stepmother and Stepfather; 77=Biological/Adoptive Mother and Stepfather; 78=Biological/Adoptive Mother and Grandfather; 79=Biological/Adoptive Mother and Stepmother and Foster Father; 80=Biological/Adoptive Mother and Stepmother; 81=Guardian, female; 82=Other female; 83=Guardian, male; 84=Other male; 85=Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff);  -999=Missing; 89 = Biological parent; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent","bdi_inf,relbdip"
"bc14","Integer","","Recommended","Feel bad about my looks","0::3","0=little to none; 1=some; 2=much; 3=a lot","bp14"
"bc15","Integer","","Recommended","Trouble getting started on work","0::3","0=little to none; 1=some; 2=much; 3=a lot","bp15"
"bc16","Integer","","Recommended","Trouble sleeping","0::3","0=little to none; 1=some; 2=much; 3=a lot","bp16"
"bc18","Integer","","Recommended","Poor appetite","0::3","0=little to none; 1=some; 2=much; 3=a lot","bp18"
"bc19","Integer","","Recommended","Loss of weight","0::3","0=little to none; 1=some; 2=much; 3=a lot","bdi_019,bp19"
"bc20","Integer","","Recommended","Worried about my health","0::3","0=little to none; 1=some; 2=much; 3=a lot","bdi_020,bp20"
"bdictotx","Float","","Recommended","BDI Total score (mean score)","","Includes items BC1-BC21 or BP1-BP21","bdi_mx21"
"assbdic","String","5","Recommended","Assessment Point","D;14;E;24;LB;36;72;96;120; 9; B; 3; 7; 144; 168;192; C","D=MTA baseline assessment; 14=MTA 14 month assessment; E=MTA early termination assessment; B = MTA Pre-Baseline Screening Assessment (579/579); 09 = MTA 9 Month Assessment (530/530); 24=MTA 24 month assessment; LB=LNCG baseline assessment; 36=MTA and LNCG 3 year assessment; 72=MTA and LNCG 6 year assessment; 96=MTA and LNCG 8 year assessment; 03 = MTA 3 Month Assessment (438/687);120=MTA and LNCG 10 year assessment; 7= 7th Grade Assessment (221/276); 144 = MTA & LNCG 12 Month Assessment (578/578); 168 = MTA & LNCG 14 Month Assessment (585/585); 192 = MTA & LNCG 16 Month Assessment (505/505); C = MTA Pre-Baseline Screening Assessment (78/78)","assbdip,relbdic"
"actbdic","Integer","","Recommended","Active status","0::5","0=Inactive-Data collected after the 14 month treatment phase/after early termination from treatment phase/prior to treatment phase; 1=Active-Data collected during the 14 month treatment phase while subject received originally assigned treatment regardless of degree of compliance; 2=Active-This is the last active assessment for subjects who were about to violate treatment arm by receiving alternate treatment; 3=Active-This is the last active assessment for subjects who were about to leave the study by moving away;4=Yes, Active; 5=No, Not Active","actbdip"
"sjtyp","Integer","","Recommended","Subject type","1;2","1=MTA randomized trial subject; 2=Local normative comparison group (LNCG) subject",""
"days_baseline","Integer","","Recommended","Days since baseline","","","daybdic,daybdip,vdabdi"
"beck07","Integer","","Recommended","Self-Hate","0::3; -9","0 = I don't feel disappointed in myself.; 1 = I am disappointed in myself.; 2 = I am disgusted with myself.; 3 = I hate myself; -9=missing/NA","bd_007,bdi07"
"beck08","Integer","","Recommended","Self_Accusations","0::3; -9","0 = I don't feel I am any worse than anybody else.; 1 = I am critical of myself for my weakness or mistakes; 2 = I blame myself all the time for my faults.; 3 = I blame myself for everything bad that happens.' -9=missing/NA","bd_008,bdi08"
"beck14","Integer","","Recommended","Body Image","0::3; -9","0 = I don't feel I look any worse than I did before.; 1 = I am worried that I am looking old or unattractive.; 2 = I feel that there are permanent change'es in my appearance that make me look unattractive'; 3 = I believe that I look ugly; -9=missing/NA","bd_013,bdi014"
"beck15","Integer","","Recommended","Work Inhibition","0::3; -9","0 = I can work about as well as before.; 1 = It takes an extra effort to get started at doing something.; 2 = I have to push myself very hard to do anything.; 3 = I can't do any work at all;  -9=missing/NA","bd_014,bdi015"
"beck16","Integer","","Recommended","Sleep Disturbance","0::3; -9","0 = I can sleep as well as usual.; 1 = I don't sleep as well as I used to.; 2 = I wake up 1-2 hours earlier than usual and find it hard to get back to sleep.; 3 = I wake up several hours earlier then I used to and cannot get back to sleep;  -9=missing/NA","bd_015,bdi016"
"beck17","Integer","","Recommended","Fatigability","0::3; -9","0 = I don't get more tired than usual.; 1 = I get tired more than usual.; 2 = I get tired from doing almost anything; 3 = I am too tired to do anything;  -9=missing/NA","bd_016,bdi017"
"beck19","Integer","","Recommended","Weight Loss","0::3; -9","0 = I haven't lost much weight, if any, lately.; 1 = I have lost more than 5 pounds.; 2 = I have lost more than 10 pounds.; 3 = I have lost more than 15 pounds;  -9=missing/NA","bd_018,bdi019"
"beck20","Integer","","Recommended","Purposely Losing Weight","0;1; -9","0=Yes; 1=No;  -9=missing/NA","bd_019"
"beck21","Integer","","Recommended","Somatic Preoccupation","0::3; -9","0 = I am no more worried about my health than usual.; 1 = I am worried about physical problems such as aches and pains, or upset stomach, or constipation.; 2 = I am very worried about physical problems and it's hard to think of anything else.; 3 = I am so worried about my physical problems, that I cannot think of anything else;  -9=missing/NA","bd_020,bdi020"
"beck22","Integer","","Recommended","Loss of Libido","0::3; -9","0 = I have not had any recent change in my interest in sex.; 1 = I am less interested in sex than I used to be.; 2 = I am much less interested in sex now.; 3 = I have lost interest in sex completely;  -9=missing/NA","bd_021"
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"phase_ct","String","20","Recommended","Current Phase. Phase patient was in at the time of the assessment Phase 4 refers to the follow-up phase.","Pre-Rand; Phase 1/1A; Phase 2; Phase 3; Phase 4; Phase 1B; Open-Choice Phase; Screening; Phase 1","",""
"last1","Integer","","Recommended","Flag Last Phase 1/1A Visit","","1=Yes for all records meeting this criteria",""
"base1","Integer","","Recommended","Flag Baseline Phase 1/1A Visit","","1=Yes for all records meeting this criteria",""
"base_ts","Float","","Recommended","Baseline Total Score","","Scare at Phase 1 baselline",""
"c_ts","Float","","Recommended","Changed from Baseline ADAS Total Score","","Change from Phase 1 baseline",""
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified","bdi_complete,finished"
"version_form","String","121","Recommended","Form used/assessment name","","","redcap_event_name,vistyp"
