ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
erq_8,Integer,,Recommended,P: I control my emotions by changing the way I think about the situation I'm in. C: I control my feelings about things by changing the way I think about them.,1::7,1= Strongly disagree; 2=Disagree; 3= Somewhat Disagree; 4= Neutral; 5=Somewhat Agree; 6= Agree; 7= Strongly agree,"34007,control_change,erq10_q08,erq8,erqq8"
erq_9,Integer,,Recommended,"P: When I am feeling negative emotions, I make sure not to express them. C: When Im feeling bad (e.g., sad, angry, or worried), Im careful not to show it.",1::7,1= Strongly disagree; 2=Disagree; 3= Somewhat Disagree; 4= Neutral; 5=Somewhat Agree; 6= Agree; 7= Strongly agree,"34008,erq10_q09,erq9,erqq9,noexpress_neg"
erq_10,Integer,,Recommended,"P: When I want to feel less negative emotion, I change the way I'm thinking about the situation. C: When I want to feel less bad (e.g., sad, angry, or worried) about something, I change the way Im thinking about it.",1::7,1= Strongly disagree; 2=Disagree; 3= Somewhat Disagree; 4= Neutral; 5=Somewhat Agree; 6= Agree; 7= Strongly agree,"34009,erq10,erq10_q10,erqq10,lessneg_situation"
erq_rfhigh,Integer,,Recommended,"Reappraisal factor, highest of all cross loadings",,,
erq_rf_ic,Integer,,Recommended,"Reappraisal factor, internal consistency",,,
erq_sfhigh,Integer,,Recommended,"Suppression factor, highest of all cross loadings",,,
erq_sf_ic,Integer,,Recommended,"Suppression factor, internal consistency",,,
erq_reappraisal,Integer,,Required,Reappraisal Score,,,"34010,erq10_reappraisal_sum,erq_cog_reappr,erq_reapp,erq_reappraisaltot,erqcogreapptot"
erq_suppression,Integer,,Required,Suppression Score,,,"34011,erq10_suppression_sum,erq_exp_supp,erq_supp,erq_suppresstot,erqexpsuptot"
version_form,String,121,Recommended,Form used/assessment name,,,
aescode,Integer,,Recommended,Staff code number of person completing this form,,,erq_interviewer
comments_misc,String,4000,Recommended,"Miscellaneous comments on study, interview, methodology relevant to this form data",,,erq_comments
dode,String,10,Recommended,Date of Data Entry,,,erq_entered
visit,String,60,Recommended,Visit name,,,
erq_si0,String,500,Recommended,"What are emotions associated with thoughts that life is not worth living, you wish you were dead, or thoughts of killing yourself?",,,
erq_si1,Integer,,Recommended,"When I have suicide-related emotions and I want to feel more positive emotions such as joy or amusement, I change what I'm thinking about",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si2,Integer,,Recommended,I keep my suicide-related emotions to myself,1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si3,Integer,,Recommended,"When I want to feel less suicide-related emotions, I change what I'm thinking about",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si4,Integer,,Recommended,"When I am feeling suicide-related emotions, I am careful not to express them",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si5,Integer,,Recommended,"When I'm faced with a stressful situation and have suicide-related emotions, I make myself think about it in a way that helps me stay calm",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si6,Integer,,Recommended,I control my suicide-related emotions by not expressing them,1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si7,Integer,,Recommended,"When I have suicide-related emotions and I want to feel more positive emotions, I change the way I'm thinking about the situation",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si8,Integer,,Recommended,I control my suicide-related emotions by changing the way I think about the situation I'm in,1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si9,Integer,,Recommended,"When I am feeling suicide-related emotions, I make sure not to express them",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
erq_si10,Integer,,Recommended,"When I want to feel less suicide-related emotions, I change the way I'm thinking about the situation",1::7,1=Strongly Disagree;4=Neutral;7=Strongly Agree,
si_reappraisal_score,Integer,,Recommended,,,,
si_suppression_score,Integer,,Recommended,,,,
erqca_1,Integer,,Recommended,"When I want to feel happier, I think about something different.",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_2,Integer,,Recommended,I keep my feelings to myself.,1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_3,Integer,,Recommended,"When I want to feel less bad (e.g., sad, angry or worried), I think about something different.",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_4,Integer,,Recommended,"When I am happy, I am careful not to show it.",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_5,Integer,,Recommended,"When I'm worried about something, I make myself think about it in a way that helps me feel better.",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_6,Integer,,Recommended,I control my emotions by not showing them.,1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_7,Integer,,Recommended,"When I want to feel happier about something, I change the way I'm thinking about it.",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_8,Integer,,Recommended,I control my feelings about things  by changing the way I think about them. ,1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_9,Integer,,Recommended,"When I'm feeling bad (e.g., sad, angry, or worried), I'm careful not to show it. ",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erqca_10,Integer,,Recommended,"When I want to feel less bad (e.g., sad, angry, worried) about something, I change the way I'm thinking about it. ",1::5,1=strongly disagree; 2=disagree; 3=half and half; 4= agree; 5 strongly agree,
erq_total,Integer,,Recommended,Emotion Regulation Questionnaire Total,0 :: 70,Sum Total,erq_score
timept,Integer,,Recommended,Time Point,,888 = not applicable; 999 = missing,
erq8,Integer,,Recommended,I control my feelings about things by changing the way I think about them,1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq9,Integer,,Recommended,"When I am feeling bad (e.g., sad, angry, or worried), I am careful not to show it",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq10,Integer,,Recommended,"When I want to feel less bad (e.g., sad, angry, or worried) about something, I change the way I am thinking about it",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq1,Integer,,Recommended,"When I want to feel happier, I think about something different",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq2,Integer,,Recommended,I keep my feelings to myself,1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq3,Integer,,Recommended,"When I want to feel less bad (e.g., sad, angry or worried), I think about something different",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq4,Integer,,Recommended,"When I am feeling happy, I am careful not to show it",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq5,Integer,,Recommended,"When I am worried about something, I make myself think about it in a way that helps me feel better",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq6,Integer,,Recommended,I control my feelings by not showing them,1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
erq7,Integer,,Recommended,"When I want to feel happier about something, I change the way I am thinking about it",1::5;999,1 = Strongly disagree; 2 = Disagree; 3 = Half and half; 4 = Agree; 5 = Strongly agree; 999 = N/A or Prefer Not to Answer,
