"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"stai9","Integer","","Recommended","Right now. I feel frightened","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q9_currently_frightened,stai_21,stai_33,stai_50,stai_9,stai_state9,stai_state_pr9"
"stai10","Integer","","Recommended","Right now. I feel comfortable","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q10_currently_comfortable,stai_10,stai_22,stai_34,stai_51,stai_state10,stai_state10_i,stai_state_pr10,staix1_q10"
"stai11","Integer","","Recommended","Right now. I feel self-confident.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q11_currently_confident,stai_11,stai_23,stai_35,stai_52,stai_state11,stai_state11_i,stai_state_pr11,staix1_q11"
"stai12","Integer","","Recommended","Right now. I feel nervous","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q12_currently_nervous,stai_12,stai_24,stai_36,stai_53,stai_state12,stai_state12_i,stai_state_pr12,staix1_q12"
"stai13","Integer","","Recommended","Right now. I am jittery","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q13_currently_jittery,stai_13,stai_25,stai_37,stai_54,stai_state13,stai_state13_i,stai_state_pr13,staix1_q13"
"stai14","Integer","","Recommended","Right now. I feel indecisive","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q14_currently_indecisive,q14_currently_indecisive?,stai_14,stai_26,stai_38,stai_55,stai_state14,stai_state_pr14"
"stai15","Integer","","Recommended","Right now. I am relaxed","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q15_currently_relaxed,stai_15,stai_27,stai_39,stai_56,stai_state15,stai_state15_i,stai_state_pr15,staix1_q15"
"stai16","Integer","","Recommended","Right now. I feel content","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q16_currently_content,stai_16,stai_28,stai_40,stai_57,stai_state16,stai_state16_i,stai_state_pr16,staix1_q16"
"stai17","Integer","","Recommended","Right now. I am worried","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q17_currently_worried,stai_17,stai_29,stai_41,stai_58,stai_state17,stai_state17_i,stai_state_pr17,staix1_q17"
"stai18","Integer","","Recommended","Right now. I feel confused","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q18_currently_confused,q18_currently_confused?,stai_18,stai_30,stai_42,stai_59,stai_state18,stai_state_pr18"
"stai19","Integer","","Recommended","Right now. I feel steady","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q19_currently_steady,q19_currently_steady?,stai_19,stai_31,stai_43,stai_60,stai_state19,stai_state_pr19"
"stai20","Integer","","Recommended","Right now. I feel pleasant","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q20_currently_pleasant,q20_currently_pleasant?,stai_20,stai_32,stai_44,stai_61,stai_state20,stai_state20_i,stai_state_pr20,staix1_q20"
"stai21","Integer","","Recommended","Generally. I feel pleasant","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q21_generally_pleasant,q21_generally_pleasant?,stai_21_trait,stai_t_21,stai_trait1,stai_trait_pr1,staix2_q01"
"stai22","Integer","","Recommended","Generally. I feel nervous and restless","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q22_generally_nervous,stai_22_trait,stai_t_22,stai_trait2,stai_trait_pr2"
"stai23","Integer","","Recommended","Generally. I feel satisfied with myself","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q23_generally_satisfied,stai_23_trait,stai_t_23,stai_trait3,stai_trait_pr3"
"stai24","Integer","","Recommended","Generally. I wish I couid be as happy as others seem to be","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q24_generally_wish_happy,q24_generally_wish_happy?,stai_24_trait,stai_t_24,stai_trait4,stai_trait_pr4,staix2_q04"
"stai25","Integer","","Recommended","Generally. I feel like a failure","1::5","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so; 5=Extremely","q25_generally_failure,stai_25_trait,stai_t_25,stai_trait5,stai_trait_pr5"
"stai26","Integer","","Recommended","Generally. I feel rested.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q26_generally_rested,q26_generally_rested?,stai_26_trait,stai_t_26,stai_trait6,stai_trait_pr6,staix2_q06"
"stai27","Integer","","Recommended","Generally. I am ""calm, cool, and collected.""","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q27_generally_collected,stai_27_trait,stai_t_27,stai_trait7,stai_trait_pr7,staix2_q07"
"stai28","Integer","","Recommended","Generally. I feel that difficulties are piling up so fast that I cannot overcome them.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q28_generally_difficulties,q28_generally_difficulties?,stai_28_trait,stai_t_28,stai_trait8,stai_trait_pr8,staix2_q08"
"stai29","Integer","","Recommended","Generally. I worry too much over something that really doesn't matter","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q29_generally_worry,stai_29_trait,stai_t_29,stai_trait9,stai_trait_pr9,staix2_q09"
"stai30","Integer","","Recommended","Generally. I am happy","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q30_generally_happy,stai_30_trait,stai_t_30,stai_trait10,stai_trait_pr10,staix2_q10"
"stai31","Integer","","Recommended","Generally. I have disturbing thoughts","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q31_generally_disturbing,q31_generally_disturbing?,stai_31_trait,stai_t_31,stai_trait11,stai_trait_pr11"
"stai32","Integer","","Recommended","Generally. I lack self-confidence","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q32_generally_lack_confidence,stai_32_trait,stai_t_32,stai_trait12,stai_trait_pr12,staix2_q12"
"stai33","Integer","","Recommended","Generally. I feel secure","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q33_generally_secure,q33_generally_secure?,stai_33_trait,stai_t_33,stai_trait13,stai_trait_pr13,staix2_q13"
"stai34","Integer","","Recommended","Generally. I make decisions easily","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q34_generally_make_decisions,q34_generally_make_decisions?,stai_34_trait,stai_t_34,stai_trait14,stai_trait_pr14"
"stai35","Integer","","Recommended","Generally. I feel inadequate","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q35_generally_inadequate,q35_generally_inadequate?,stai_35_trait,stai_t_35,stai_trait15,stai_trait_pr15"
"stai36","Integer","","Recommended","Generally. I am content","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q36_generally_content,stai_36_trait,stai_t_36,stai_trait16,stai_trait_pr16,staix2_q16"
"stai37","Integer","","Recommended","Generally. Some unimportant thought runs through my mind and bothers me","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q37_generally_unimportant,stai_37_trait,stai_t_37,stai_trait17,stai_trait_pr17,staix2_q17"
"stai38","Integer","","Recommended","Generally. I take disappointments so keenly that I can't put them out of my mind","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q38_generally_disappointments,stai_38_trait,stai_t_38,stai_trait18,stai_trait_pr18,staix2_q18"
"stai39","Integer","","Recommended","Generally. I am a steady person","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q39_generally_steady,q39_generally_steady?,stai_39_trait,stai_t_39,stai_trait19,stai_trait_pr19,staix2_q19"
"stai40","Integer","","Recommended","Generally. I get in a state of tension or turmoil as I think over my recent concerns and interests","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","q40_generally_tension,stai_40_trait,stai_t_40,stai_trait20,stai_trait_pr20,staix2_q20"
"staiy_state","Integer","","Recommended","State Anxiety","","","currently_score,state"
"staiy_trait","Integer","","Recommended","Trait Anxiety","","","generally_score,staix_trait"
"stai_post_final_score","Float","","Recommended","MRI Post Scan Final Score","","","staix_state_postscan"
"stai_pre_final_score","Float","","Recommended","MRI Pre Scan STAI Final Score - min is 20 max is 80","","",""
"stai_pre_score","Float","","Recommended","MRI STAI Pre Scan TOTAL SCORE","","","staix_state_prescan"
"stai_eeg_final_score","Float","","Recommended","EEG STAI Final Score","","",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
"visit","String","60","Recommended","Visit name","","","timept"
"visday","Integer","","Recommended","Number of days from study baseline to date of visit","","","daystait"
"stait1","Integer","","Recommended","I feel pleasant","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait1_i"
"stait2","Integer","","Recommended","I feel nervous and restless","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait3","Integer","","Recommended","I feel satisfied with myself","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait4","Integer","","Recommended","I wish I could be as happy as others seem to be","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait4_i"
"stait5","Integer","","Recommended","I feel like a failure","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait6","Integer","","Recommended","I feel rested","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait6_i"
"stait7","Integer","","Recommended","I am ""calm, cool and collected""","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait7_i"
"stait8","Integer","","Recommended","I feel that difficulties are piling up so that I cannot overcome them","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait8_i"
"stait9","Integer","","Recommended","I worry too much over something that really doesnt matter","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait9_i"
"stait10","Integer","","Recommended","I am happy","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait10_i"
"stait11","Integer","","Recommended","I have disturbing thoughts","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait12","Integer","","Recommended","I lack self-confidence","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait12_i"
"stait13","Integer","","Recommended","I feel secure","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait13_i"
"stait14","Integer","","Recommended","I make decisions easily","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait15","Integer","","Recommended","I feel inadequate","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always",""
"stait16","Integer","","Recommended","I am content","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait16_i"
"stait17","Integer","","Recommended","Some unimportant thought runs through my mind and bothers me","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait17_i"
"stait18","Integer","","Recommended","I take disappointments so keenly that I cant put them out of my mind","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait18_i"
"stait19","Integer","","Recommended","I am a steady person","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait19_i"
"stait20","Integer","","Recommended","I get in a state of tension or turmoil as I think over my recent concerns and interests","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","stai_trait20_i"
"respondent","String","20","Recommended","Respondent","Mother;Father;Both;Other;Parent;Teacher;Child; Self","","completed_by,nfstait"
"respond_detail_oth_spec","String","255","Recommended","Respondent details","","","nfostait"
"respondent_other_specify","String","50","Recommended","Respondent: Other (specify)","","","completed_by_other,nfstait_d"
"staittot","Integer","","Recommended","STAIT-S Total Score","","Note: prorated when any are missing ? one missing 6 items (30%), others missing 1 or 2 items.sum(5-STAIT1, 5-STAIT3, 5-STAIT6, 5-STAIT7, 5-STAIT10, 5-STAIT13,5-STAIT14, 5-STAIT16, 5-STAIT19, STAIT2, STAIT4, STAIT5, STAIT8, STAIT9, STAIT11, STAIT12, STAIT15, STAIT17, STAIT18, STAIT20)","stai_t_total,stai_total"
"imputation","Integer","","Recommended","Indicator noting imputed data set number ","1::20","",""
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified","staiinfo"
"stai_trait_mx20","Integer","","Recommended","Mean of responses * 20","","",""
"vses_tmp","Integer","","Recommended","Within-session Timepoint Reference","1::7","1=Baseline measure; 2=Pre-FIPD assessment; 3=Post-FIPD assessment; 4=Pre- social interaction anticipation; 5=Social interaction Anticipation; 6=Post-interaction assessment; 7= fMRI session measure",""
"stai_state4_i","Integer","","Recommended","Right now. I am regretful.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q04"
"stai_state8_i","Integer","","Recommended","Right now. I feel rested.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q08"
"stai_state9_i","Integer","","Recommended","Right now. I feel anxious.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q09"
"stai_state14_i","Integer","","Recommended","Right now. I feel ""high strung.""","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q14"
"stai_state18_i","Integer","","Recommended","Right now. I feel overexcited and rattled.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q18"
"stai_state19_i","Integer","","Recommended","Right now. I feel joyful.","1::4","1=Not at all so; 2= Somewhat; 3=Moderately so; 4=Very much so","staix1_q19"
"stai_trait2_i","Integer","","Recommended","Generally. I tire quickly.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q02"
"stai_trait3_i","Integer","","Recommended","Generally. I feel like crying.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q03"
"stai_trait5_i","Integer","","Recommended","Generally. I am losing out on things because I can't make up my mind soon enough.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q05"
"stai_trait11_i","Integer","","Recommended","Generally. I am inclined to take things hard.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q11"
"stai_trait14_i","Integer","","Recommended","Generally. I try to avoid facing a crisis or difficulty.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q14"
"stai_trait15_i","Integer","","Recommended","Generally. I feel blue.","1::4","1 = Almost never; 2 = Sometimes; 3 = Often; 4 = Almost always","staix2_q15"
