ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
comments_misc,String,4000,Recommended,"Miscellaneous comments on study, interview, methodology relevant to this form data",,,
rsq_q67,Integer,,Recommended,Listen to sad music./S. I listen to sad music,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rsq_20,rsq_d20"
rsq_q68,Integer,,Recommended,Isolate yourself and think about the reasons why you feel sad./S. I stay away from others and think about the reasons why I feel upset,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rsq_21,rsq_d21"
rsq_q70,Integer,,Recommended,Try to understand yourself by focusing on your depressed feelings./S. I try to understand myself by thinking about my feelings,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"rsq_22,rsq_d22"
rsq_q1,Integer,,Recommended,Ask someone to help you overcome a problem,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q2,Integer,,Recommended,Write about your feelings in a diary or journal.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q3,Integer,,Recommended,Think of how someone (or some fictional character you respect) would deal with your current situation.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q4,Integer,,Recommended,"Think, ""I'm not going to think about how I feel",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q6,Integer,,Recommended,"Think, ""I won't be able to do my job/work because I feel so badly",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q9,Integer,,Recommended,Try to find something positive in the situation or something you learned/S. I try to find something positive in what happened or something I learned,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q10,Integer,,Recommended,"Think, ""People will see what I'm really like.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q11,Integer,,Recommended,Take recreational drugs or drink alcohol.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q12,Integer,,Recommended,"Think, ""I'm going to do something to make myself feel better.""/S. I think ""I'm going to do something to make myself feel better.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q13,Integer,,Recommended,Help someone else with something in order to distract yourself/S. I help someone else so I don't think about how I feel,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q16,Integer,,Recommended,Remind yourself that these feelings won't last./S. I remind myself that these feelings won't last,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q17,Integer,,Recommended,"Think, ""I am embarrassing my family/friends/mate.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq4,crsqr_4"
rsq_q20,Integer,,Recommended,"Daydream, fantasize, or think about good things./S. I daydream/fantasize/think about good things",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q23,Integer,,Recommended,Watch TV or play video games to distract yourself,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q24,Integer,,Recommended,Go to a favorite place to get your mind off your feelings/S. I go to a favorite place to get my mind off my feelings,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q26,Integer,,Recommended,"Talk it out with someone whose opinions you respect (i.e., friend/family/clergy).",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q27,Integer,,Recommended,"Think, ""I'll concentrate on something other than how I feel.""/S. I think ""I'll concentrate on something other than how I feel.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q29,Integer,,Recommended,Do something that has made you feel better in the past./S. I do something that has made me feel better in the past,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q31,Integer,,Recommended,"Think, ""I'm going to go out and have some fun.""/S. I think ""I'm going to go out and have some fun.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q32,Integer,,Recommended,Make a plan to overcome a problem,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q33,Integer,,Recommended,Stay around people.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q34,Integer,,Recommended,"Think, ""I am ruining everything.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq3,crsqr_3"
rsq_q35,Integer,,Recommended,Concentrate on your work/S. I concentrate on my work,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q36,Integer,,Recommended,"Think, ""There must be something wrong with me or I wouldn't feel this way.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq9,crsqr_9"
rsq_q37,Integer,,Recommended,"Think, ""I am disappointing my friends/family/mate.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq10,crsqr_10"
rsq_q38,Integer,,Recommended,Deny how you are feeling,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q39,Integer,,Recommended,"Think, ""I've ruined another school year/job/relationship.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q41,Integer,,Recommended,Do something reckless or dangerous.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q45,Integer,,Recommended,Do something you enjoy/S. I do something I enjoy,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q47,Integer,,Recommended,"Think, ""I have no right to feel this way -- I am really selfish.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q48,Integer,,Recommended,"Think, ""My friends are getting sick of me and my problems.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q49,Integer,,Recommended,Call your therapist to talk about your feelings.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q50,Integer,,Recommended,Decide to try to improve some area of your life.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q51,Integer,,Recommended,"Think, ""I am disappointing God.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q52,Integer,,Recommended,Do something fun with a friend./S. I do something fun with a friend,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q54,Integer,,Recommended,Go to sleep to escape how you feel.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q55,Integer,,Recommended,"Take your feelings out on someone else./S. I think ""I won't think about how I feel, I'll just concentrate on something else""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q57,Integer,,Recommended,Deliberately do something to make yourself feel worse.,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q58,Integer,,Recommended,Eat,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q59,Integer,,Recommended,Pray,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q60,Integer,,Recommended,Read,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q62,Integer,,Recommended,Think about how angry you are with someone else,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q63,Integer,,Recommended,Think back to other times you have felt depressed,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,"crsq7,crsqr_7"
rsq_q64,Integer,,Recommended,Take prescription medications to make yourself feel better,1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q65,Integer,,Recommended,"Think, ""I've got things under control""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q66,Integer,,Recommended,"Think, ""No one wants to be around me because of my mood.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q69,Integer,,Recommended,"Think, ""I must really have serious problems or I wouldn't feel this way so often.""",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_q71,Integer,,Recommended,"Do something active to get your mind off of your feelings (i.e., jog/aerobics/exercise).",1::4; -99;77;88,1=Almost never; 2=Sometimes; 3=Often; 4=Almost always; -99= N/A ; 77= Refused ; 88= Missing,
rsq_totalscore,Integer,,Recommended,Response Style Questionnaire total score,,,
version_form,String,121,Recommended,Form used/assessment name,,,
quest_instruct,String,4000,Recommended,Questionnaire Instructions,,Questionnaire Instructions,
respond,Integer,,Recommended,Respondent,1::7;999,1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available,
subjectkey_mother,GUID,,Recommended,The NDAR Global Unique Identifier (GUID) for subject's biological mother,NDAR*,,
subjectkey_father,GUID,,Recommended,The NDAR Global Unique Identifier (GUID) for subject's biological father,NDAR*,,
timept,Integer,,Recommended,Time Point,,888 = not applicable; 999 = missing,
rrs_mean,Float,,Recommended,Ruminative Responses Scale Score - Mean,,,
condition_c,Integer,,Recommended,Patient Condition,0::2,0 = Control; 1 = Self-Affirmation; 2 = Expressive Writing,condition.c
timepoint_label,String,15,Recommended,Timepoint/visit label,,,assessment.c
