Qualtrics_ID,Stimulus_ID
You give swimming lessons to the local kids. This week one of your students drowns in the pool.,sadness_00002
You drive past a terrible car accident. You see a woman crying as the paramedics carry another person away on a stretcher.,sadness_00003
You volunteer in a hospital. You see lives ruined every day.,sadness_00004
"All day, you work hard at your job. When you arrive home, you get a sudden feeling of loneliness at the door.",sadness_00005
"After some thought, you show up at an event. Everyone is disappointed when you arrive.",sadness_00006
After a long walk you sit on a bench. You are filled with despair at that moment.,sadness_00007
"You visit your childhood home with your family. When you arrive, you see that the house has burned down.",sadness_00008
You go to many tournaments each year. You are known as a loser on the circuit.,sadness_00009
You are expecting an email update from your significant other. The message you find is grim that day.,sadness_00010
You open your garage door when you arrive home. Inside there are hundreds of balloons.,surprise_00001
You see your aunt at the grocery store on the other side of town. She is holding hands with somebody who isn't your uncle.,surprise_00002
You are taking a personality quiz online. The results are the opposite of what you had expected.,surprise_00003
You arrive home to news vans in your neighborhood. You are told your next door neighbor is the prolific serial killer that has been terrorizing the area for a decade.,surprise_00004
The male cat you adopted from the shelter begins to seem lethargic. The vet informs you that your cat is a female who is pregnant with a litter of five kittens.,surprise_00005
You get a text from an old friend you haven't talked to in a decade. You did not know that they still kept your contact information.,surprise_00006
You plant wildflower seeds on Monday. You return Tuesday to see they have fully blossomed.,surprise_00007
People are waiting for you on the steps of a building. They applaud for you as you walk through.,surprise_00008
You are led into a dark room. Suddenly you are surrounded by sunlight on all sides.,surprise_00009
You go to the bank. You notice your balance is larger than what you expected.,surprise_00010
